epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,4993.83,2.45139,1.53447,1.92583,0.73193,0.3269,0.36848,0.13987,4.56329,2.5295,2.75453,0.0008516,0.0008516,0.0008516
147,5027.83,2.42514,1.58223,1.9481,0.64328,0.38028,0.42531,0.15402,4.51995,2.69108,2.84244,0.00084368,0.00084368,0.00084368
148,5062.01,2.30739,1.48398,1.92753,0.7235,0.36856,0.41794,0.15053,4.51467,2.6701,2.8253,0.00083576,0.00083576,0.00083576
149,5096.22,2.33898,1.49207,1.93907,0.64433,0.37324,0.37174,0.1375,4.67294,2.82528,2.90683,0.00082784,0.00082784,0.00082784
150,5130.22,2.31241,1.51108,1.91065,0.77338,0.36051,0.38207,0.14608,4.51082,2.71553,2.8202,0.00081992,0.00081992,0.00081992
151,5164.19,2.24662,1.34387,1.85522,0.71595,0.38028,0.39981,0.1544,4.46635,3.10301,2.78654,0.000812,0.000812,0.000812
152,5198.25,2.26554,1.50641,1.92281,0.81045,0.38028,0.40401,0.14908,4.49378,2.84228,2.88829,0.00080408,0.00080408,0.00080408
153,5232.26,2.26728,1.34895,1.88093,0.81101,0.40141,0.42162,0.16009,4.55368,3.04709,2.8823,0.00079616,0.00079616,0.00079616
154,5266.36,2.25333,1.37258,1.89233,0.79919,0.39437,0.39254,0.14398,4.69665,3.10608,2.79153,0.00078824,0.00078824,0.00078824
155,5300.37,2.17684,1.32442,1.86288,0.74474,0.3662,0.37903,0.13751,4.60133,2.69319,2.84432,0.00078032,0.00078032,0.00078032
156,5334.5,2.26216,1.42161,1.88667,0.57472,0.40845,0.4292,0.1456,4.5855,2.8103,2.88854,0.0007724,0.0007724,0.0007724
157,5368.64,2.25897,1.37326,1.90046,0.78847,0.35211,0.38632,0.13288,4.62856,2.89054,2.88415,0.00076448,0.00076448,0.00076448
158,5402.6,2.24981,1.39017,1.87292,0.71054,0.34507,0.37851,0.13533,4.57429,2.78556,2.84457,0.00075656,0.00075656,0.00075656
159,5436.79,2.18489,1.34968,1.89018,0.59959,0.39437,0.41266,0.13889,4.58622,2.57492,2.84227,0.00074864,0.00074864,0.00074864
160,5470.88,2.2358,1.3781,1.90647,0.69396,0.38028,0.41285,0.14179,4.55431,3.13278,2.86602,0.00074072,0.00074072,0.00074072
161,5504.76,2.22902,1.36167,1.89387,0.72333,0.40507,0.4459,0.1612,4.5312,2.67757,2.91635,0.0007328,0.0007328,0.0007328
162,5538.94,2.26042,1.43209,1.92523,0.67722,0.41371,0.44018,0.16358,4.7169,2.84647,2.85161,0.00072488,0.00072488,0.00072488
163,5573.02,2.08948,1.31627,1.87501,0.82769,0.37213,0.42004,0.15702,4.6694,3.18393,2.84748,0.00071696,0.00071696,0.00071696
164,5606.92,2.22742,1.34071,1.88225,0.84574,0.37324,0.42542,0.1625,4.5999,3.01213,2.85588,0.00070904,0.00070904,0.00070904
165,5641.02,2.10143,1.30136,1.85123,0.81937,0.38732,0.41933,0.15492,4.67065,2.52759,2.82905,0.00070112,0.00070112,0.00070112
166,5675.01,2.19809,1.34153,1.91045,0.8319,0.37324,0.41694,0.15122,4.72566,2.95816,2.87697,0.0006932,0.0006932,0.0006932
167,5709.16,2.16076,1.37281,1.87882,0.7914,0.3662,0.38966,0.14559,4.78972,3.05905,2.96282,0.00068528,0.00068528,0.00068528
168,5743.44,2.14127,1.31053,1.90211,0.74893,0.38028,0.42295,0.15673,4.72552,2.77266,2.86498,0.00067736,0.00067736,0.00067736
169,5777.51,2.17469,1.35145,1.87314,0.63168,0.3662,0.3856,0.13915,4.78603,2.52888,2.87908,0.00066944,0.00066944,0.00066944
170,5811.55,2.12188,1.30514,1.87138,0.79346,0.35171,0.38016,0.14468,4.70642,2.84788,2.89068,0.00066152,0.00066152,0.00066152
171,5845.8,2.12307,1.29838,1.89781,0.78548,0.34507,0.37928,0.14983,4.58955,2.75981,2.92207,0.0006536,0.0006536,0.0006536
172,5880.14,2.16295,1.3199,1.8982,0.63704,0.33099,0.34782,0.14491,4.62595,2.92673,2.92395,0.00064568,0.00064568,0.00064568
173,5914.13,2.09124,1.28213,1.829,0.6637,0.37526,0.36623,0.14263,4.69027,3.23099,2.89283,0.00063776,0.00063776,0.00063776
174,5948.39,2.12772,1.27782,1.84314,0.71645,0.39149,0.38871,0.14487,4.59469,2.96575,2.87713,0.00062984,0.00062984,0.00062984
175,5982.58,2.08237,1.22822,1.85844,0.79217,0.37324,0.39927,0.14793,4.58088,3.07339,2.82554,0.00062192,0.00062192,0.00062192
176,6016.71,2.12814,1.254,1.8548,0.77962,0.39863,0.40874,0.15398,4.68635,2.97678,2.83735,0.000614,0.000614,0.000614
177,6051.01,2.10545,1.33552,1.84931,0.78622,0.39437,0.40511,0.14162,4.73671,2.96419,2.87519,0.00060608,0.00060608,0.00060608
178,6085.12,2.20087,1.3676,1.89725,0.70882,0.40141,0.39862,0.15327,4.74873,2.71179,2.88682,0.00059816,0.00059816,0.00059816
179,6119.18,2.09014,1.22307,1.83033,0.81426,0.3662,0.39064,0.14854,4.72389,2.94431,2.90878,0.00059024,0.00059024,0.00059024
180,6153.34,2.10942,1.3083,1.84497,0.74765,0.37324,0.37796,0.13955,4.74834,3.0267,2.87078,0.00058232,0.00058232,0.00058232
